id,canonicalSmiles,inchiKey,drugType,blackBoxWarning,name,maximumClinicalTrialPhase,hasBeenWithdrawn,isApproved,tradeNames,synonyms,childChemblIds,description,crossReferences.Wikipedia,crossReferences.drugbank,linkedDiseases.rows,linkedDiseases.count,linkedTargets.rows,linkedTargets.count,yearOfFirstApproval,parentId,crossReferences.DailyMed,crossReferences.PubChem,crossReferences.chEBI,crossReferences.EMA,crossReferences.USAN,crossReferences.TG-GATEs,crossReferences.DrugCentral,crossReferences.INN
CHEMBL5315071,,,Protein,False,TUROCTOCOG ALFA PEGOL,4.0,False,True,['Esperoct'],['N8-gp'],,Protein drug with a maximum clinical trial phase of IV that was first approved in 2019 and is indicated for hemophilia a.,,,['MONDO_0010602'],1.0,['ENSG00000185010'],1,2019.0,,,,,['https://www.ema.europa.eu/en/medicines/human/EPAR/esperoct'],,,,
CHEMBL703,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,AXOIZCJOOAYSMI-UHFFFAOYSA-N,Small molecule,True,SUXAMETHONIUM,4.0,False,True,[],"['Anectine', 'Quelicin', 'Succinylcholine', 'Succinylcholine cation', 'Succinylcholine ion', 'Sucostrin', 'Suxamethonium', 'Suxamethonium cation', 'Suxamethonium ion']","['CHEMBL2104486', 'CHEMBL3391771', 'CHEMBL983']",Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1952 and has 3 investigational indications. This drug has a black box warning from the FDA.,,['DB00202'],"['EFO_0000712', 'HP_0001662', 'HP_0003326']",3.0,"['ENSG00000138435', 'ENSG00000196811', 'ENSG00000170175', 'ENSG00000135902', 'ENSG00000108556']",5,1952.0,,,"['11111825', '90341285']",['45652'],,,,,
CHEMBL1131,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,IHUNBGSDBOWDMA-AQFIFDHZSA-N,Small molecule,True,ACITRETIN,4.0,False,True,"['Acitretin', 'Neotigason', 'Soriatane']","['Acitretin', 'Etretin', 'RO 10-1670', 'RO 10-1670/000', 'RO-101670000']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1996 and is indicated for psoriasis vulgaris and psoriasis and has 4 investigational indications. This drug has a black box warning from the FDA.,['Acitretin'],['DB00459'],"['EFO_1001494', 'EFO_0000676', 'MONDO_0002406', 'EFO_0000764', 'EFO_0000756', 'MONDO_0004975']",6.0,"['ENSG00000204231', 'ENSG00000172819', 'ENSG00000143171', 'ENSG00000077092', 'ENSG00000131759', 'ENSG00000186350']",6,1996.0,,['acitretin'],"['144205565', '26756475', '29216416', '49640651']",['50173'],,,,,
CHEMBL2028663,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,BFSMGDJOXZAERB-UHFFFAOYSA-N,Small molecule,False,DABRAFENIB,4.0,False,True,['Tafinlar'],"['Dabrafenib', 'GSK-2118436', 'GSK-2118436A', 'GSK2118436A', 'Gsk2118436']",['CHEMBL2105729'],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2013 and has 7 approved and 19 investigational indications.,,['DB08912'],"['EFO_1000926', 'EFO_0002892', 'EFO_0003833', 'EFO_0003086', 'EFO_0002892', 'MONDO_0002108', 'EFO_0003060', 'MONDO_0008903', 'MONDO_0002108', 'EFO_0002617', 'EFO_0002617', 'EFO_1000926', 'EFO_0000389', 'MONDO_0100342', 'EFO_0000501', 'EFO_0000756', 'EFO_0000641', 'MONDO_0017795', 'EFO_0000616', 'EFO_0001378', 'MONDO_0004992', 'EFO_0001421', 'EFO_0001378', 'EFO_0006772', 'EFO_0000756', 'EFO_0000389', 'EFO_1000209']",27.0,['ENSG00000157764'],1,2013.0,,,,['75045'],,,,,
CHEMBL2103772,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,ODUOJXZPIYUATO-UHFFFAOYSA-N,Small molecule,False,RACECADOTRIL,4.0,False,True,['Hidrasec'],"['Acetorphan', 'NSC-759828', 'Racecadotril', 'Tiorfan', 'Tiorfix']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) and has 2 investigational indications.,,['DB11696'],"['HP_0002014', 'EFO_1001306']",2.0,['ENSG00000196549'],1,,,,['174006909'],,,,,,
CHEMBL2108585,,,Gene,False,CONTUSUGENE LADENOVEC,2.0,False,False,[],"['AD5CMV-P53', 'Contusugene ladenovec', 'INGN 201', 'INGN-201']",,Gene drug with a maximum clinical trial phase of II (across all indications) and has 9 investigational indications.,,,"['EFO_1000158', 'MONDO_0002691', 'MONDO_0008903', 'MONDO_0002087', 'MONDO_0007254', 'EFO_0006859', 'MONDO_0004986', 'MONDO_0008170', 'EFO_0003060']",9.0,['ENSG00000141510'],1,,,,,,,,,,
CHEMBL2109263,,,Antibody,False,ING-1,2.0,False,False,[],"['HEMAB', 'ING-1', 'Ing-1']",,Antibody drug with a maximum clinical trial phase of II and has 1 investigational indication.,,,['EFO_0000228'],1.0,['ENSG00000119888'],1,,,,,,,,,,
CHEMBL2109600,,,Antibody,False,RO-5458640,1.0,False,False,[],"['RG-7212', 'RO-5458640', 'Ro-5458640']",,Antibody drug with a maximum clinical trial phase of I and has 1 investigational indication.,,,['EFO_0000616'],1.0,['ENSG00000239697'],1,,,,,,,,,,
CHEMBL3989821,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C.Cl.O.O.O.O.O.[Cl-],WMIZITXEJNQAQK-GGDSLZADSA-N,Small molecule,False,TUBOCURARINE CHLORIDE,4.0,False,True,"['Jexin', 'Tubarine', 'Tubocurarine chloride']","['Curare', 'NSC-757362', 'Tubaine', 'Tubarine pentahydrate', 'Tubocurarine chloride', 'Tubocurarine chloride anhydrous', 'Tubocurarine chloride, anhydrous', 'Tubocurarini chloridum']",,Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1945.,,,,,"['ENSG00000138435', 'ENSG00000196811', 'ENSG00000170175', 'ENSG00000135902', 'ENSG00000108556']",5,1945.0,CHEMBL339427,,,,,,,,
CHEMBL3990145,COCCCCn1c(C(=O)N(CC(C)C)[C@@H]2CNC[C@H](C(=O)N3CCOCC3)C2)nc2ccccc21,RHIBAIKQWJNESW-YADHBBJMSA-N,Small molecule,False,IMARIKIREN,2.0,False,False,[],['Imarikiren'],['CHEMBL3969876'],Small molecule drug with a maximum clinical trial phase of II.,,,,,['ENSG00000143839'],1,,,,,,,,,,
CHEMBL4297163,,,Oligosaccharide,False,MUPARFOSTAT,3.0,False,False,[],"['Muparfostat', 'PI-88']",['CHEMBL4297162'],Oligosaccharide drug with a maximum clinical trial phase of III (across all indications) and has 6 investigational indications.,,,"['EFO_0003060', 'MONDO_0008903', 'EFO_0000389', 'EFO_0000756', 'EFO_0000182', 'MONDO_0008315']",6.0,"['ENSG00000112715', 'ENSG00000173083', 'ENSG00000113578', 'ENSG00000138685']",4,,,,,,,,,,
CHEMBL4297185,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,BLIJXOOIHRSQRB-PXYINDEMSA-N,Small molecule,False,DAROLUTAMIDE,4.0,False,True,['Nubeqa'],"['BAY 1841788', 'BAY-1841788', 'BAY1841788', 'Darolutamide', 'ODM-201', 'Odm-201']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2019 and has 7 approved and 3 investigational indications.,,['DB12941'],"['EFO_0000616', 'EFO_0001663', 'MONDO_0007254', 'MONDO_0008315', 'EFO_0000196', 'MONDO_0004992', 'EFO_0000673', 'MONDO_0021259', 'MONDO_0004669', 'MONDO_0000521']",10.0,['ENSG00000169083'],1,2019.0,,['darolutamide'],,,['https://www.ema.europa.eu/en/medicines/human/EPAR/nubeqa'],,,,
CHEMBL4297440,COc1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1NC(N)=O,FSXLOWIFSZNIMV-UHFFFAOYSA-N,Small molecule,False,T-900607,2.0,False,False,[],"['T 900607', 'T-900607', 'T900607']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 5 investigational indications.,,['DB12068'],"['EFO_0003893', 'EFO_0005952', 'EFO_0000182', 'MONDO_0001056', 'MONDO_0002691']",5.0,"['ENSG00000188229', 'ENSG00000101162', 'ENSG00000198033', 'ENSG00000127824', 'ENSG00000258947', 'ENSG00000167552', 'ENSG00000104833', 'ENSG00000261456', 'ENSG00000196230', 'ENSG00000123416', 'ENSG00000167553', 'ENSG00000152086', 'ENSG00000137267', 'ENSG00000137285', 'ENSG00000176014']",15,,,,,,,,,,
CHEMBL5314383,C[C@@H]1CN(C(=O)CN2CC(C)(C)OC[C@H]2C(=O)Nc2cc(Cl)cc3c2[nH]c2cnccc23)C[C@H](C)O1,BQBAVNBXWBYXIF-DMPWYTOCSA-N,Small molecule,False,MLN-0415,1.0,False,False,[],['Mln-0415'],,Small molecule drug with a maximum clinical trial phase of I.,,,,,['ENSG00000104365'],1,,,,,,,,,,
CHEMBL681,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,NPUKDXXFDDZOKR-LLVKDONJSA-N,Small molecule,False,ETOMIDATE,4.0,False,True,"['Amidate', 'Etomidate']","['Etomidate', 'Hypnomidate', 'NSC-759160']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1982 and has 3 investigational indications.,,['DB00292'],"['EFO_0000537', 'EFO_0000712', 'EFO_0009686']",3.0,"['ENSG00000022355', 'ENSG00000145864', 'ENSG00000113327', 'ENSG00000166206', 'ENSG00000109158', 'ENSG00000182256', 'ENSG00000268089', 'ENSG00000011677', 'ENSG00000094755', 'ENSG00000187730', 'ENSG00000163285', 'ENSG00000163288', 'ENSG00000102287', 'ENSG00000151834', 'ENSG00000186297', 'ENSG00000145863']",16,1982.0,,['etomidate'],['11114097'],['4910'],,,,,
CHEMBL1200585,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,ICMWWNHDUZJFDW-DHODBPELSA-N,Small molecule,True,OXYMETHOLONE,4.0,False,True,"['Anadrol-50', 'Anapolon 50']","['Anadrol', 'Anapolon', 'Anasteron', 'CI-406', 'HMD', 'NSC-26,198', 'NSC-26198', 'Oximetholone', 'Oxymetholone', 'Oxymetholone ciii', 'Pardroyd']",,Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1972. This drug has a black box warning from the FDA.,['Oxymetholone'],['DB06412'],,,['ENSG00000169083'],1,1972.0,,,"['144204682', '144207269', '170465403', '17388810']",,,,,,
CHEMBL1201242,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,UCEWGESNIULAGX-UHFFFAOYSA-N,Small molecule,False,INDECAINIDE,4.0,False,True,[],['Indecainide'],['CHEMBL1200341'],Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1989.,['Indecainide'],['DB00192'],,,"['ENSG00000144285', 'ENSG00000183873', 'ENSG00000007314', 'ENSG00000136546', 'ENSG00000136531', 'ENSG00000169432', 'ENSG00000153253', 'ENSG00000168356', 'ENSG00000196876', 'ENSG00000185313']",10,1989.0,,,['170465192'],,,,,,
CHEMBL1276138,O=C(c1ccc2nonc2c1)N1CCCCC1,XFVRBYKKGGDPAJ-UHFFFAOYSA-N,Small molecule,False,FARAMPATOR,2.0,False,False,[],"['CX 691', 'CX-691', 'CX691', 'Farampator', 'ORG 24448', 'ORG-24448', 'SCH-900460']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.,,['DB15012'],"['MONDO_0002009', 'MONDO_0002050', 'MONDO_0005090']",3.0,"['ENSG00000152578', 'ENSG00000125675', 'ENSG00000120251', 'ENSG00000155511']",4,,,,,,,,,,
CHEMBL258940,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,FTFRZXFNZVCRSK-UHFFFAOYSA-N,Small molecule,False,FALNIDAMOL,2.0,False,False,[],"['BIBX 1382', 'BIBX-1382', 'Bibx 1382', 'Bibx-1382', 'Bibx1382', 'Falnidamol']",['CHEMBL2136050'],Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.,,['DB12966'],['EFO_0000616'],1.0,['ENSG00000146648'],1,,,,"['124892343', '26755049']",,,,,,
CHEMBL3545209,,,Small molecule,False,NKTR-171,1.0,False,False,[],['Nktr-171'],,Small molecule drug with a maximum clinical trial phase of I.,,,,,"['ENSG00000144285', 'ENSG00000183873', 'ENSG00000007314', 'ENSG00000136546', 'ENSG00000136531', 'ENSG00000169432', 'ENSG00000153253', 'ENSG00000168356', 'ENSG00000196876', 'ENSG00000185313']",10,,,,,,,,,,
CHEMBL3545263,,,Small molecule,False,LGX-806,1.0,False,False,[],"['Lgx-806', 'NVP-LGX806']",,Small molecule drug with a maximum clinical trial phase of I.,,,,,"['ENSG00000157764', 'ENSG00000132155']",2,,,,,,,,,,
CHEMBL3622533,COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,JOWXJLIFIIOYMS-UHFFFAOYSA-N,Small molecule,False,FIMEPINOSTAT,2.0,False,False,[],"['CUDC-907', 'CUDC907', 'Cudc 907', 'Cudc-907', 'Fimepinostat']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,['DB11891'],"['MONDO_0002108', 'EFO_0000574']",2.0,"['ENSG00000051382', 'ENSG00000171608', 'ENSG00000121879', 'ENSG00000116478', 'ENSG00000171720', 'ENSG00000094631', 'ENSG00000196591', 'ENSG00000108840', 'ENSG00000061273', 'ENSG00000147099', 'ENSG00000163517', 'ENSG00000068024', 'ENSG00000048052', 'ENSG00000100429']",14,,,,,,,,,,
CHEMBL460785,Cl.OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,ZJIHMALTJRDNQI-VFQQELCFSA-N,Small molecule,False,DUVOGLUSTAT HYDROCHLORIDE,2.0,False,False,[],"['1 deoxynojirimycin hydrochloride', '1-deoxynojirimycin hydrochloride', 'AT-2220', 'AT2220', 'Duvoglustat hcl', 'Duvoglustat hydrochloride', 'Moranoline hydrochloride']",,Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.,,,['Orphanet_365'],1.0,['ENSG00000171298'],1,,CHEMBL307429,,,,,,,,
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,Small molecule,False,ERLOTINIB,4.0,False,True,['Tarceva'],"['CP-358,774', 'CP-358774', 'CP-35877401', 'Erlotinib', 'OSI-774', 'R-1415', 'RG-1415', 'Ro-508231']","['CHEMBL5220042', 'CHEMBL1079742']",Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2004 and is indicated for non-small cell lung carcinoma and has 105 investigational indications.,['Erlotinib'],['DB00530'],"['EFO_0005537', 'EFO_0000632', 'EFO_0002501', 'MONDO_0007576', 'MONDO_0002974', 'MONDO_0004992', 'EFO_0001422', 'EFO_0000616', 'MONDO_0044881', 'EFO_0002429', 'EFO_0000588', 'MONDO_0021117', 'EFO_0000514', 'EFO_0000519', 'EFO_0000305', 'MONDO_0000521', 'EFO_0000681', 'MONDO_0008903', 'EFO_0000182', 'EFO_0004252', 'EFO_0000198', 'EFO_0006859', 'MONDO_0008315', 'MONDO_0002898', 'EFO_0000222', 'EFO_1000657', 'EFO_0003050', 'EFO_0000308', 'EFO_0003868', 'EFO_0000676', 'EFO_0003893', 'EFO_1001951', 'MONDO_0008170', 'MONDO_0018531', 'MONDO_0008903', 'MONDO_0016693', 'MONDO_0002087', 'MONDO_0002691', 'MONDO_0016691', 'EFO_0000708', 'EFO_0003060', 'MONDO_0002158', 'MONDO_0003060', 'EFO_0002618', 'MONDO_0002158', 'EFO_0002501', 'EFO_0005577', 'EFO_1000581', 'MONDO_0002898', 'EFO_0000313', 'MONDO_0003060', 'EFO_0003860', 'EFO_1000026', 'EFO_1000158', 'EFO_0000571', 'EFO_1001465', 'MONDO_0021063', 'MONDO_0003478', 'EFO_0000756', 'EFO_0003833', 'MONDO_0007254', 'EFO_0002499', 'EFO_0009708', 'EFO_0000588', 'EFO_0000571', 'MONDO_0021063', 'EFO_0000365', 'MONDO_0007254', 'Orphanet_733', 'EFO_0000691', 'EFO_0001378', 'EFO_0002916', 'EFO_0000519', 'EFO_0000182', 'EFO_0005221', 'EFO_1001901', 'MONDO_0001187', 'EFO_0000707', 'EFO_1000657', 'EFO_1000028', 'MONDO_0004986', 'MONDO_0011962', 'EFO_1001951', 'MONDO_0020634', 'EFO_0010282', 'MONDO_0005411', 'MONDO_0003268', 'EFO_0002618', 'EFO_0000565', 'EFO_0006859', 'EFO_0004220', 'MONDO_0002367', 'EFO_0005567', 'EFO_0000181', 'EFO_1001465', 'EFO_0000616', 'MONDO_0002367', 'EFO_1000359', 'MONDO_0003268', 'EFO_0007243', 'MONDO_0001657', 'MONDO_0002691', 'EFO_0002499', 'MONDO_0044926', 'EFO_0000756', 'EFO_1000158', 'EFO_0000181', 'Orphanet_733', 'EFO_0003060', 'EFO_0000681', 'EFO_0003050', 'MONDO_0008315', 'MONDO_0008170', 'MONDO_0001187', 'EFO_0000349', 'MONDO_0004992', 'EFO_0000308', 'EFO_0000640', 'MONDO_0007576']",119.0,['ENSG00000146648'],1,2004.0,,,"['103905339', '124893165', '124893166', '144205755', '170465434', '26757996', '50100099', '85267493']",['114785'],,,,,
CHEMBL586702,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,HGVNLRPZOWWDKD-UHFFFAOYSA-N,Small molecule,False,ZSTK-474,2.0,False,False,[],"['TCMDC-137004', 'Zstk-474', 'Zstk474']",,Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.,,['DB12904'],['EFO_0000616'],1.0,"['ENSG00000145675', 'ENSG00000051382', 'ENSG00000105851', 'ENSG00000121879', 'ENSG00000105647', 'ENSG00000171608', 'ENSG00000141506', 'ENSG00000117461']",8,,,,,['90545'],,,,,
CHEMBL940,NCC1(CC(=O)O)CCCCC1,UGJMXCAKCUNAIE-UHFFFAOYSA-N,Small molecule,False,GABAPENTIN,4.0,False,True,"['Gabapentin', 'Gralise', 'Neurontin']","['CI-945', 'DM-1796', 'GOE 3450', 'GOE-3450', 'Gabapentin', 'NSC-742194', 'NSC-759254']",['CHEMBL542620'],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1993 and has 5 approved and 61 investigational indications.,['Gabapentin'],['DB00996'],"['EFO_0005687', 'EFO_1002028', 'HP_0000989', 'EFO_0000512', 'MONDO_0041052', 'MONDO_0011382', 'HP_0003419', 'EFO_0005611', 'HP_0002013', 'EFO_0003756', 'EFO_0007191', 'EFO_0003917', 'EFO_0001422', 'HP_0008419', 'EFO_0005230', 'EFO_1001931', 'MONDO_0002050', 'EFO_0004777', 'EFO_0008507', 'EFO_0005762', 'EFO_0000546', 'HP_0012532', 'HP_0001250', 'EFO_0005323', 'EFO_0003890', 'EFO_0004710', 'MONDO_0007079', 'EFO_0003843', 'EFO_0009267', 'HP_0031217', 'HP_0001337', 'MONDO_0007254', 'EFO_0000764', 'EFO_1001800', 'EFO_0004329', 'EFO_0006859', 'MONDO_0043510', 'EFO_0006510', 'EFO_0003768', 'EFO_0004698', 'EFO_0004143', 'MONDO_0004986', 'EFO_0004263', 'EFO_1001250', 'HP_0000726', 'HP_0000360', 'EFO_1000783', 'EFO_0000474', 'EFO_0009430', 'EFO_0005407', 'EFO_0004888', 'MONDO_0004992', 'EFO_0008568', 'EFO_1001255', 'MONDO_0005090', 'MONDO_0005301', 'EFO_1000971', 'MONDO_0008315', 'MONDO_0002038', 'EFO_0000279', 'EFO_0008533', 'EFO_0004270', 'EFO_0003818', 'EFO_0004273', 'EFO_1001898', 'EFO_0000519']",66.0,"['ENSG00000196557', 'ENSG00000153956', 'ENSG00000151067', 'ENSG00000157445', 'ENSG00000081248', 'ENSG00000007402', 'ENSG00000157388', 'ENSG00000141837', 'ENSG00000148408', 'ENSG00000006283', 'ENSG00000151062', 'ENSG00000100346', 'ENSG00000102001', 'ENSG00000198216', 'ENSG00000182389', 'ENSG00000165995', 'ENSG00000067191', 'ENSG00000167535', 'ENSG00000105605', 'ENSG00000075429', 'ENSG00000166862', 'ENSG00000075461', 'ENSG00000142408', 'ENSG00000006116', 'ENSG00000130433', 'ENSG00000108878']",26,1993.0,,['gabapentin'],"['104171164', '11112806', '11113327', '124880194', '144203708', '170464715', '50103936', '855579', '90340599']",['42797'],,,,,
CHEMBL979,CCCC(C)(COC(N)=O)COC(N)=O,NPPQSCRMBWNHMW-UHFFFAOYSA-N,Small molecule,False,MEPROBAMATE,4.0,True,True,"['Amosene', 'Bamate', 'Equanil', 'Mepriam', 'Meprobamate', 'Meprospan', 'Miltown', 'Neuramate', 'Tenavoid', 'Tranmep']","['Meprobamate', 'Meprobamate civ', 'NSC-30418']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1955 and is indicated for anxiety disorder and anxiety. It was withdrawn in at least one region.,['Meprobamate'],['DB00371'],"['EFO_0006788', 'EFO_0005230']",2.0,"['ENSG00000022355', 'ENSG00000145864', 'ENSG00000113327', 'ENSG00000166206', 'ENSG00000109158', 'ENSG00000182256', 'ENSG00000268089', 'ENSG00000011677', 'ENSG00000094755', 'ENSG00000187730', 'ENSG00000163285', 'ENSG00000163288', 'ENSG00000102287', 'ENSG00000151834', 'ENSG00000186297', 'ENSG00000145863']",16,1955.0,,['meprobamate'],"['144204614', '144207530', '17389535']",,,,,,
CHEMBL1200798,Cl.O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,OHHDIOKRWWOXMT-UHFFFAOYSA-N,Small molecule,True,TRAZODONE HYDROCHLORIDE,4.0,False,True,"['Desyrel', 'Molipaxin', 'Molipaxin cr', 'Oleptro', 'Trazodone hydrochloride', 'Trialodine']","['AF-1161', 'NSC-292811', 'Trazodone hcl', 'Trazodone hydrochloride']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1981 and has 3 approved and 1 investigational indication. This drug has a black box warning from the FDA.,,,"['MONDO_0004976', 'MONDO_0002050', 'MONDO_0002009', 'EFO_0003761']",4.0,"['ENSG00000102468', 'ENSG00000147246', 'ENSG00000108576']",3,1981.0,CHEMBL621,['trazodone%20hydrochloride'],"['124891691', '144203837', '144213002', '170465234', '26747679', '50107085', '56423658', '855917']",['9655'],,,,,
CHEMBL1201832,,,Protein,False,ROMIPLOSTIM,4.0,False,True,['Nplate'],"['AMG 531', 'Romiplate', 'Romiplostim']",,Protein drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2008 and has 3 approved and 12 investigational indications.,['Romiplostim'],,"['MONDO_0010518', 'MONDO_0018896', 'EFO_0000198', 'HP_0001873', 'MP_0001914', 'MONDO_0008170', 'EFO_0000519', 'EFO_0000313', 'HP_0001915', 'MONDO_0004992', 'EFO_0006927', 'EFO_0000574', 'EFO_0007160', 'MONDO_0043768', 'EFO_0005952']",15.0,['ENSG00000117400'],1,2008.0,,['romiplostim'],,,['https://www.ema.europa.eu/en/medicines/human/EPAR/nplate'],,,['4996'],
CHEMBL1237123,COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,GBLRQXKSCRCLBZ-UHFFFAOYSA-N,Small molecule,False,DOXACURIUM,4.0,False,True,[],"['Doxacurium cation', 'Doxacurium ion']",['CHEMBL1237099'],Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1991.,,['DB01135'],,,"['ENSG00000138435', 'ENSG00000196811', 'ENSG00000170175', 'ENSG00000135902', 'ENSG00000108556']",5,1991.0,,,,['4706'],,,,,
CHEMBL1922094,Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,YOVVNQKCSKSHKT-HNNXBMFYSA-N,Small molecule,False,APITOLISIB,2.0,False,False,[],"['Apitolisib', 'G-038390', 'G-038390.1', 'GDC-0980', 'GDC-0980.1', 'Gne-390', 'RG-7422', 'RG7422', 'Rg-7422']","['CHEMBL1922103', 'CHEMBL1922106']",Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 6 investigational indications.,,['DB12180'],"['MONDO_0004992', 'MONDO_0008315', 'EFO_0005952', 'MONDO_0007254', 'EFO_0000681', 'EFO_1001512']",6.0,"['ENSG00000198793', 'ENSG00000145675', 'ENSG00000051382', 'ENSG00000105851', 'ENSG00000121879', 'ENSG00000105647', 'ENSG00000171608', 'ENSG00000141506', 'ENSG00000117461']",9,,,,,,,,,,
CHEMBL2010872,CC(C)Cn1c2ccc(Nc3ncccn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,AEULIVPVIDOLIN-UHFFFAOYSA-N,Small molecule,False,CEP-11981,2.0,False,False,[],"['BOL-303213X', 'CEP-11981', 'CEP11981', 'Cep 11981', 'Cep-11981']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,,"['EFO_0000196', 'MONDO_0004992']",2.0,"['ENSG00000102755', 'ENSG00000037280', 'ENSG00000128052', 'ENSG00000120156']",4,,,,,,,,,,
CHEMBL2103839,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,BUROJSBIWGDYCN-GAUTUEMISA-N,Small molecule,False,RIDAFOROLIMUS,3.0,False,False,[],"['AP 23573', 'AP-23573', 'AP23573', 'MK-8669', 'MK8669', 'Ridaforolimus']",,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 19 investigational indications.,,['DB06233'],"['EFO_0000569', 'MONDO_0008315', 'EFO_0003869', 'EFO_0001378', 'MONDO_0021054', 'EFO_0002430', 'EFO_0000637', 'EFO_1001968', 'EFO_1001465', 'EFO_0000574', 'MONDO_0011962', 'EFO_0003060', 'EFO_0000198', 'MONDO_0004992', 'EFO_0000616', 'MONDO_0007254', 'EFO_0000564', 'EFO_0000565', 'EFO_0000691']",19.0,['ENSG00000198793'],1,,,,,['79700'],,,,,
CHEMBL2105160,C[C@@H](N/C(=N\C#N)Nc1ccc(C#N)cc1)C(C)(C)C,PGYDRGZVXVVZQC-LLVKDONJSA-N,Small molecule,False,NAMINIDIL,2.0,False,False,[],"['BMS-234303', 'BMS-234303-01', 'Naminidil', 'Naminidil, (r)-']",,Small molecule drug with a maximum clinical trial phase of II.,,,,,"['ENSG00000187486', 'ENSG00000069431', 'ENSG00000006071', 'ENSG00000121361']",4,,,,,,,,,,
CHEMBL2108341,,,Antibody,False,SONTUZUMAB,2.0,False,False,[],"['AS-1402', 'HUHMFG-1', 'Sontuzumab']",,Antibody drug with a maximum clinical trial phase of II.,,,,,['ENSG00000185499'],1,,,,,,,,,,
